_id,Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
6632fad9fb44da0b0e450da9,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
6632fad9fb44da0b0e450daa,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Utilização das cascas de castanhas-de-caju para a fabricação de tijolos ,Colégio Adventista de Caruaru, Caruaru,Pernambuco (PE),2023
6632fad9fb44da0b0e450dab,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Análise da viabilidade e eficiência da filtragem de cor na quantificação do percentual de cobertura arbórea no processamento de imagens de satélite ,Colégio São Francisco de Sales Diocesano , Teresina,Piauí (PI),2023
6632fadafb44da0b0e450dac,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Investigação do desequilíbrio metalômico associado ao câncer ,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2023
6632fadafb44da0b0e450dad,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,"Sistema de coleta e armazenagem de água da chuva a partir de materiais de baixo custo, uma alternativa de combate à seca no semiárido nordestino ",E.E. Monsenhor Raimundo Gurgel, Mossoró,Rio Grande do Norte (RN),2023
6632fadafb44da0b0e450dae,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Avaliação de processos Fenton na degradação de corantes ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2023
6632fadbfb44da0b0e450daf,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Fabricação de telhas a partir da reutilização de plástico e pó de serragem ,E.E.E.F.M. César Freitas Cassol, Porto Velho,Rondônia (RO),2023
6632fadbfb44da0b0e450db0,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Endoparasitas de peixes comercializados na feira do produtor em Roraima ,E.E. Monteiro Lobato, Boa Vista,Roraima (RR),2023
6632fadbfb44da0b0e450db1,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Análise da composição química do óleo essencial da Senecio oleosus para composição de um curativo alternativo bioativo ,Colégio Bom Jesus Diocesano, Lages,Santa Catarina (SC),2023
6632fadcfb44da0b0e450db2,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Evasão escolar e a desumanização: um estudo à luz do pensamento de Paulo Freire ,Escola Alef Peretz - Unidade Paraisópolis, Sao Paulo,São Paulo (SP),2023
6632fadcfb44da0b0e450db3,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,“Ecobags” de papel de palha de coqueiro: uma alternativa sustentável para substituir as sacolas plásticas usadas na feira livre de Umbaúba-SE ,Colégio Estadual Dr. Antônio Garcia Filho, Umbauba,Sergipe (SE),2023
6632fadcfb44da0b0e450db4,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,"Potencial larvicida, inseticida e repelente dos princípios ativos do tucum-mirim (Astrocaryum acaule) no controle de artrópodes transmissores de arboviroses ",Escola Santa Teresinha, Imperatriz,Maranhão (MA),2023
6632faddfb44da0b0e450db5,4º Lugar em Ciências Agrárias,BRA Torreifer - Dispositivo de automação e monitoramento do processo de torrefação da farinha de mandioca a baixo custo ,Fundação Matias Machline, Manaus,Amazonas (AM),2023
6632faddfb44da0b0e450db6,4º Lugar em Ciências Agrárias,Desenvolvimento de uma prótese canina para membro inferior por meio de impressão 3D ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
6632faddfb44da0b0e450db7,4º Lugar em Ciências Agrárias,"Alimentador de peixes automático, sensorizado e conectado à internet ",Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
6632fadefb44da0b0e450db8,4º Lugar em Ciências Biológicas,"Carvão ativado por micro-ondas a partir do coco verde, a viabilidade desse resíduo como tecnologia no tratamento de efluentes ",Colégio Militar do Recife, Recife,Pernambuco (PE),2023
6632fadefb44da0b0e450db9,4º Lugar em Ciências Biológicas,Desenvolvimento de objetos biodegradáveis através da fibra do coco ,IFSP - Campus Guarulhos, Guarulhos,São Paulo (SP),2023
6632fadefb44da0b0e450dba,4º Lugar em Ciências Biológicas,MicroRNAs como candidatos à biomarcadores no câncer de pâncreas ,Colégio Degraus, Jundiai,São Paulo (SP),2023
6632fadffb44da0b0e450dbb,4º Lugar em Ciências Biológicas,Gotículas de poluição: óleo de cozinha em rios e alternativas de minimização de seu impacto ambiental - fase II ,Colégio Estadual de Tupandi, Tupandi,Rio Grande do Sul (RS),2023
6632fadffb44da0b0e450dbc,4º Lugar em Ciências Biológicas,Mauritia: um sistema com flutuabilidade aquática para limpeza e coagulação de rios e lagos através de agentes orgânicos ,E.E. Irmã Santina Rioli, Macapa,Amapá (AP),2023
6632fadffb44da0b0e450dbd,4º Lugar em Ciências da Saúde,Avaliação dos efeitos anticonvulsivos do resveratrol para tratamento de espasmos epiléticos de crianças com microcefalia ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, Rio De Janeiro,Rio de Janeiro (RJ),2023
6632fadffb44da0b0e450dbe,4º Lugar em Ciências da Saúde,Produção de uma pomada para o tratamento de ferimentos cutâneos ,IF Baiano - Campus Catu, Catu,Bahia (BA),2023
6632fae0fb44da0b0e450dbf,4º Lugar em Ciências Exatas e da Terra,Lovebox - uma solução de atenção à saúde da pessoa polimedicada ,IFPR - Campus Paranavaí, Paranavai,Paraná (PR),2023
6632fae0fb44da0b0e450dc0,4º Lugar em Ciências Exatas e da Terra,“Ecobags” de papel de palha de coqueiro: uma alternativa sustentável para substituir as sacolas plásticas usadas na feira livre de Umbaúba-SE ,Colégio Estadual Dr. Antônio Garcia Filho, Umbauba,Sergipe (SE),2023
6632fae0fb44da0b0e450dc1,4º Lugar em Ciências Exatas e da Terra,Produção de filmes semicondutores em ambiente escolar ,Escola Sesi Djalma Pessoa, Salvador,Bahia (BA),2023
6632fae1fb44da0b0e450dc2,4º Lugar em Ciências Exatas e da Terra,Cápsula molecular do tempo: utilizando o DNA de um inimigo recente para deixar uma mensagem para o futuro ,Colégio Militar de Manaus, Manaus,Amazonas (AM),2023
6632fae1fb44da0b0e450dc3,4º Lugar em Ciências Humanas,"Cata-histórias: registros e compartilhamentos de histórias de vidas através de um museu e produções audiovisuais, no município de Igarapé-Miri, Pará ",E.M.E.F. Aristóteles Emiliano de Castro, Igarape-Miri,Pará (PA),2023
6632fae1fb44da0b0e450dc4,4º Lugar em Ciências Humanas,Transtorno do espectro autista e a família:reflexões a partir da Ética da Alteridade ,IFSP - Campus Birigui, Birigui,São Paulo (SP),2023
6632fae1fb44da0b0e450dc5,4º Lugar em Ciências Humanas,"Produção, repartição e consumo: etnografia das pescarias e das práticas de maricultura no litoral sul do Espírito Santo ",Instituto Federal do Espírito Santo - Campus Piúma, Piúma,Espírito Santo (ES),2023
6632fae2fb44da0b0e450dc6,4º Lugar em Ciências Humanas,Baquaqua: escravidão e liberdade no mundo atlântico do século XIX ,CEFET-MG - Unidade BH - Campus I, Belo Horizonte,Minas Gerais (MG),2023
6632fae2fb44da0b0e450dc7,4º Lugar em Ciências Humanas,QuantiSim - o laboratório virtual de análise quantitativa ,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2023
6632fae2fb44da0b0e450dc8,4º Lugar em Ciências Sociais Aplicadas,MDFolhas: otimização do MDF tradicional para o atendimento do mercado atual ,Etec Monte Mor, Monte Mor,São Paulo (SP),2023
6632fae2fb44da0b0e450dc9,4º Lugar em Ciências Sociais Aplicadas,Caminhos para segurança alimentar: a aplicação do potencial nutricional e culinário da chaya (Cnidoscolus aconitifolius) ,E.E.M. Governador Adauto Bezerra, Juazeiro Do Norte,Ceará (CE),2023
6632fae3fb44da0b0e450dca,4º Lugar em Engenharia,Desenvolvimento de uma montagem refletora de baixo custo para aumento da eficiência de painéis fotovoltaicos ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
6632fae3fb44da0b0e450dcb,4º Lugar em Engenharia,Reciclagem ecoeficiente do vidro na produção de blocos cerâmicos: uma solução para diminuição do lixo ambiental ,Instituto Federal de Educação, Ciência E Tecnologia Do Rio Grande Do Sul - Campus Feliz,Tocantins (TO),2023
6632fae3fb44da0b0e450dcc,4º Lugar em Engenharia,Clik help: dispositivo contra violência à mulher ,Centro Educacional SESI-437, Hortolandia,São Paulo (SP),2023
6632fae4fb44da0b0e450dcd,4º Lugar em Engenharia,PC Board: compósito produzido a partir da utilização do mesocarpo do Cocos nucifera e do poliestireno expandido ,EEM Maria Conceição de Araújo , Acarau,Ceará (CE),2023
6632fae4fb44da0b0e450dce,4º Lugar em Engenharia,EcoQuad - dispositivo de transporte sustentável por hibridização de eletricidade e energia solar fotovoltaica ,Colégio Purissimo Coração de Maria, Rio Claro,São Paulo (SP),2023
6632fae4fb44da0b0e450dcf,3º Lugar em Ciências Agrárias,Sistema de irrigação automatizado ,E.E.E.F.M. EURICO SALLES, Itaguacu,Espírito Santo (ES),2023
6632fae5fb44da0b0e450dd0,3º Lugar em Ciências Agrárias,Agrolink ,Colégio São Mauro, Sao Paulo,São Paulo (SP),2023
6632fae5fb44da0b0e450dd1,3º Lugar em Ciências Biológicas,Fibras de coco e abacaxi: solução acessível para contaminações por óleo dos corpos d’água no Brasil ,Colégio Presbiteriano Mackenzie, Sao Paulo,São Paulo (SP),2023
6632fae5fb44da0b0e450dd2,3º Lugar em Ciências Biológicas,Visualização de estruturas e osmose em células vegetais com uso de corantes naturais ,E.E. Ceti Prof. Manuel Vicente Ferreira Lima, Coari,Tocantins (TO),2023
6632fae6fb44da0b0e450dd3,3º Lugar em Ciências Biológicas,NOIVA: um novo objeto de investigação ambiental para o monitoramento cidadão de microplástico na água ,IFPR - Campus Paranaguá, Paranagua,Paraná (PR),2023
6632fae6fb44da0b0e450dd4,3º Lugar em Ciências Biológicas,Desenvolvimento de lipossomas de Fluopsina C: um composto bioativo no controle de bactérias patogênicas ,Colégio Interativa, Londrina,Paraná (PR),2023
6632fae6fb44da0b0e450dd5,3º Lugar em Ciências da Saúde,Adaptação de calçados para pessoas com dismetria: um estudo de panorama e desenvolvimento de protótipo ,Colégio Santa Catarina, Novo Hamburgo,Rio Grande do Sul (RS),2023
6632fae6fb44da0b0e450dd6,3º Lugar em Ciências da Saúde,A.Fleming 28 - descarte consciente de medicamentos e acessibilidade ,Etec Bento Quirino, Campinas,São Paulo (SP),2023
6632fae7fb44da0b0e450dd7,3º Lugar em Ciências Exatas e da Terra,Clean water ,Colégio Diocesano Santa Luzia, Mossoro,Rio Grande do Norte (RN),2023
6632fae7fb44da0b0e450dd8,3º Lugar em Ciências Exatas e da Terra,Ferticagem: uma proposta sustentável e econômica ,Escola SESI Adonias Filho, Ilheus,Bahia (BA),2023
6632fae7fb44da0b0e450dd9,3º Lugar em Ciências Exatas e da Terra,Construção de redes neurais artificiais para mapeamento de inteligências múltiplas dentro de jogos digitais ,Colégio e Curso Matriz Educação, Sao Joao De Meriti,Rio de Janeiro (RJ),2023
6632fae8fb44da0b0e450dda,3º Lugar em Ciências Humanas,MentalSaurus: um aplicativo para auxiliar estudantes em condição de sofrimento mental ,Sociedade Educacional Positivo Ltda. - Escolas Positivo, Curitiba,Paraná (PR),2023
6632fae8fb44da0b0e450ddb,3º Lugar em Ciências Humanas,Acesso e permanência no ensino superior no Brasil: a meritocracia reforçada pela mídia no caso de Matheus Araújo Moreira e de Débora Souza Rocha ,Escola Sesi Djalma Pessoa, Salvador,Bahia (BA),2023
6632fae8fb44da0b0e450ddc,3º Lugar em Ciências Humanas,Museu virtual Catu em retrato: construção e validação de um produto educacional para o ensino de história com professores e estudantes da Educação Básica ,IF Baiano - Campus Catu, Catu,Bahia (BA),2023
6632fae9fb44da0b0e450ddd,3º Lugar em Ciências Humanas,Virtual Hope: gamificação e inteligência artificial em prol da psicologia ,Escola Salesiana São José, Campinas,São Paulo (SP),2023
6632fae9fb44da0b0e450dde,3º Lugar em Ciências Humanas,O desenvolvimento psicossocial de crianças e pré-adolescentes em tempos de pandemia e isolamento social ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
6632fae9fb44da0b0e450ddf,3º Lugar em Ciências Sociais Aplicadas,D’arte - democratização da arte em espaços socioculturais ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
6632fae9fb44da0b0e450de0,3º Lugar em Ciências Sociais Aplicadas,Uso de narrativas imersivas na prevenção e combate ao bullying no ambiente escolar ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
6632faeafb44da0b0e450de1,3º Lugar em Engenharia,Detecção de Parkinson utilizando Inteligência Artificial - fase 2 ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte ,Minas Gerais (MG),2023
6632faeafb44da0b0e450de2,3º Lugar em Engenharia,Tecideina: tecido biodegradável a partir de proteína do leite ,Centro Tecnológico Frederico Jorge Logemann, Horizontina,Rio Grande do Sul (RS),2023
6632faeafb44da0b0e450de3,3º Lugar em Engenharia,M - Plasfil: desenvolvimento de membrana para microfiltração e retenção de microplásticos ,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2023
6632faeafb44da0b0e450de4,3º Lugar em Engenharia,Ibiry ,Colégio Técnico e Industrial de Guaratinguetá, Guaratingueta,São Paulo (SP),2023
6632faebfb44da0b0e450de5,3º Lugar em Engenharia,Utilização das cascas de castanhas-de-caju para a fabricação de tijolos ,Colégio Adventista de Caruaru, Caruaru,Pernambuco (PE),2023
6632faebfb44da0b0e450de6,2º Lugar em Ciências Agrárias,Aproveitamento de coproduto agroindustrial de goiaba (Psidium guajava) na obtenção de filmes poliméricos biodegradáveis ,E.E.M.T.I. Marconi Coelho Reis, Cascavel,Ceará (CE),2023
6632faebfb44da0b0e450de7,2º Lugar em Ciências Agrárias,BioGrape: inovação para tratamento de efluentes têxteis a partir de celulose bacteriana de vinho ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
6632faecfb44da0b0e450de8,2º Lugar em Ciências Biológicas,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
6632faecfb44da0b0e450de9,2º Lugar em Ciências Biológicas,Análise da composição química do óleo essencial da Senecio oleosus para composição de um curativo alternativo bioativo ,Colégio Bom Jesus Diocesano, Lages,Santa Catarina (SC),2023
6632faecfb44da0b0e450dea,2º Lugar em Ciências Biológicas,Extratos vegetais da folha do araçazeiro (Psidium guineense Sw.): um método alternativo no combate a proliferação do mosquito Aedes aegypti ,Escola Sesi Djalma Pessoa, Salvador,Bahia (BA),2023
6632faecfb44da0b0e450deb,2º Lugar em Ciências da Saúde,Desenvolvimento de uma ferramenta para cálculo de dose insulina bolus no tratamento de diabéticos tipo 1 ,Colégio Militar de Curitiba, Curitiba,Paraná (PR),2023
6632faedfb44da0b0e450dec,2º Lugar em Ciências Exatas e da Terra,SustainPads: da concepção ao público ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
6632faedfb44da0b0e450ded,2º Lugar em Ciências Exatas e da Terra,Análise da viabilidade e eficiência da filtragem de cor na quantificação do percentual de cobertura arbórea no processamento de imagens de satélite ,Colégio São Francisco de Sales Diocesano , Teresina,Piauí (PI),2023
6632faedfb44da0b0e450dee,2º Lugar em Ciências Exatas e da Terra,Nanoemulsões a partir de óleos essenciais: uso da anotecnologia como solução sustentável na agricultura ,IFES - Campus Vila Velha, Vila Velha,Espírito Santo (ES),2023
6632faeefb44da0b0e450def,2º Lugar em Ciências Humanas,O Kindle Direct Publishing e a autopublicação como mecanismo para o reconhecimento dos escritos de jovens autoras ,Escola SESI Anísio Teixeira, Vitoria Da Conquista,Bahia (BA),2023
6632faeefb44da0b0e450df0,2º Lugar em Ciências Humanas,História em silêncio: entre as lembranças e a construção da identidade do sujeito surdo ,Centro Estadual de Capacitação de Educadores e Atendimento ao Surdo, Mossoró,Rio Grande do Norte (RN),2023
6632faeefb44da0b0e450df1,2º Lugar em Ciências Humanas,Semente materna poética: protagonismo de estudantes ribeirinhos e indígenas como poetas e artistas em Beruri - AM ,Escola Estadual Getúlio Vargas, Beruri,Amazonas (AM),2023
6632faeefb44da0b0e450df2,2º Lugar em Ciências Humanas,Eco-socius: jogo educativo sobre a economia circular ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
6632faeffb44da0b0e450df3,2º Lugar em Ciências Sociais Aplicadas,Projeto Safira: grupo de desenvolvimento de softwares que auxiliem no combate às violências contra as mulheres ,IFSP - Campus Guarulhos, Guarulhos,São Paulo (SP),2023
